id,name,artists,id_artists,genres,release_year,duration_s,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
65vHYhe2AprpDBHBTpOBaE,Burner on Deck (feat. Pop Smoke & Young Adz),"Fredo, Pop Smoke, Young Adz","['3rbtPd0NcvhO2AzMfzx90z', '0eDvMgVFoNV3TpwtrVCoTj', '396eHybVCEUr0PcED4yFga']",brooklyn drill  uk hip hop,2021,187.672,71,0.784,0.514,11,52.889,0,0.285,0.0957,0.0,0.207,0.269,135.111
3ZWhRS2EJVL5B0IEzkcvZa,Sweet & Sour (feat. Lauv & Tyga),"Jawsh 685, Lauv, Tyga","['56mfhUDKa1vec6rSLZV5Eg', '5JZ7CnR6gTvEMKX4g70Amv', '5LHRHt1k9lMyONurDHEdrp']",nz pop dance pop hip hop pop rap rap southern hip hop trap electropop pop postteen pop,2020,163.228,71,0.827,0.73,1,54.676,1,0.0934,0.092,1.35e-05,0.258,0.679,95.003
4BhGTc3Cgay2U1QcTS7vQe,Fire & Desire,Drake,['3TVXtAsR1Inumwj472S9r4'],canadian hip hop canadian pop hip hop pop rap rap toronto rap,2016,238.12,71,0.722,0.252,1,45.589,0,0.0761,0.0671,0.0,0.0852,0.275,79.923
375l2qnEfCpeY6AaoFOsjb,cobain,"Lil Peep, Lil Tracy","['2kCcBybjl3SAtIcwdWpUe3', '5g63iWaMJ2UrkZMkCC8dMi']",dark trap emo rap glitchcore melodic rap underground hip hop vapor trap emo rap lgbtq hip hop,2020,150.16,71,0.609,0.661,10,52.821,1,0.0417,0.0151,0.0,0.077,0.435,141.981
3fjmSxt0PskST13CSdBUFx,Somewhere I Belong,Linkin Park,['6XyY86QOPPrYVGvF9ch6wz'],alternative metal nu metal postgrunge rap metal,2003,213.933,71,0.451,0.951,1,56.246,1,0.0645,0.00038,2.39e-06,0.261,0.442,162.065
1AI7UPw3fgwAFkvAlZWhE0,Take Me Back to London (feat. Stormzy),"Ed Sheeran, Stormzy","['6eUKZXaKkcviH0Ku9w2n3V', '2SrSdSvpminqmStGELCSNd']",pop uk pop grime uk hip hop,2019,189.733,71,0.885,0.762,8,54.487,0,0.216,0.219,0.0,0.162,0.605,138.058
3yEtuhGR8jOtusa29jWrhG,Tu Amor Me Hace Bien - Salsa Version,Marc Anthony,['4wLXwxDeWQ8mtUIRPxGiD6'],latin latin pop modern salsa salsa tropical,2004,300.16,71,0.691,0.658,0,53.504,1,0.0359,0.398,4.58e-05,0.112,0.617,97.68
0LzrhCZFXW94Y8nwtTuRlw,Hollaback Girl,Gwen Stefani,['4yiQZ8tQPux8cPriYMWUFP'],dance pop hip pop pop postteen pop urban contemporary,2004,199.853,71,0.926,0.916,10,57.779,0,0.0929,0.35,6.17e-06,0.0234,0.904,110.007
0Dkibk70FDp6t7eOZNemNQ,Una Mattina,Ludovico Einaudi,['2uFUBdaVGtyMqckSeCl0Qj'],bow pop compositional ambient neoclassical,2004,203.8,71,0.231,0.0297,2,28.456,1,0.0579,0.991,0.878,0.0742,0.07,131.413
7xyYsOvq5Ec3P4fr6mM9fD,Hysteria,Muse,['12Chz98pHFMPJEknJQMWvI'],modern rock permanent wave rock,2004,227.44,71,0.412,0.92,9,55.148,0,0.0575,0.000456,0.0026,0.11,0.455,93.162
0cQVqPuHQP4KEwc7ZUQmj6,Sweater Weather,The Neighbourhood,['77SW9BnxLY8rJ0RciFqkHh'],modern alternative rock modern rock pop shimmer pop,2013,240.427,71,0.613,0.808,10,57.149,1,0.0346,0.0426,0.0159,0.102,0.38,124.037
21x1FpH5mmrRCxWMRWofMM,We Don't Dance,"M24, Stickz","['601bmA9VRZnMVclsxG7W6T', '4XElpHwKLubHxfXQwWyyEY']",uk drill uk hip hop uk drill uk hip hop,2019,187.211,71,0.923,0.486,1,52.58,1,0.369,0.495,0.0,0.175,0.388,140.001
6JY1IdkZGeIcPegKxjSKeb,Since U Been Gone,Kelly Clarkson,['3BmGtnKgCSGYIUhmivXKWX'],dance pop neo mellow pop pop rock postteen pop talent show urban contemporary,2004,188.96,71,0.662,0.739,9,54.646,0,0.0322,0.00206,0.0603,0.113,0.382,130.999
7dyluIqv7QYVTXXZiMWPHW,Numb / Encore,"JAY-Z, Linkin Park","['3nFkdlSjzX9mRTtwJOzDYB', '6XyY86QOPPrYVGvF9ch6wz']",alternative metal nu metal postgrunge rap metal east coast hip hop hip hop pop rap rap,2004,205.28,71,0.685,0.803,2,55.749,1,0.156,0.0601,0.0,0.546,0.799,107.005
4TBtGrMgUYH7D5Tf5HLvyz,Let's Do It Again,J Boog,['7oEWmZ9dKlAVxTgmjUbYr4'],jawaiian kaneka polynesian pop,2011,192.177,71,0.631,0.696,0,54.369,0,0.211,0.578,0.0,0.0784,0.927,173.537
5BB0Jzw60KyfSTyjJqtely,Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,['7FBcuc1gsnv6Y1nwFtNRCb'],emo pop punk,2010,205.96,71,0.411,0.986,8,57.478,0,0.0583,0.000264,0.00148,0.371,0.649,165.981
5yAu4njFSdM47dfsTkQPZ2,Runnin' Down A Dream,Tom Petty,['2UZMlIwnkgAEDBsw1Rejkn'],album rock classic rock country rock folk rock heartland rock mellow gold pop rock rock roots rock singersongwriter soft rock,2019,261.813,71,0.471,0.956,9,53.629,1,0.0403,0.000596,0.62,0.624,0.715,169.798
5inDa3sWj8zqJBOdj7Bjqc,"Hey Stupid, I Love You",JP Saxe,['66W9LaWS0DPdL7Sz8iYGYe'],alt z canadian contemporary rb indie cafe pop pop postteen pop,2020,181.0,71,0.758,0.594,5,50.37,0,0.426,0.218,5.32e-06,0.0798,0.869,91.864
1xYpVRspgaLxdJLOTQkTjg,STOP TRYING TO BE GOD,Travis Scott,['0Y5tJX1MQlPlqiwlOH1tJY'],rap slap house,2018,338.438,71,0.588,0.567,4,56.262,0,0.0628,0.221,0.0,0.135,0.113,150.009
3TlIt0ReIxPsVZcOEivT5U,It's Not Unusual,Tom Jones,['1T0wRBO0CK0vK8ouUMqEl5'],adult standards british invasion mellow gold,1965,119.8,71,0.476,0.722,0,49.983,1,0.0646,0.598,0.0,0.184,0.909,92.966
7yotKA30dwTKNEGomV9ZsI,KOD,J. Cole,['6l3HvQ5sa6mXTsMTB19rO5'],conscious hip hop hip hop north carolina hip hop rap,2018,191.437,71,0.823,0.783,0,53.726,1,0.154,0.21,0.0,0.113,0.199,141.882
5sIx4BlfYGuZeSLF40N9GH,Remind Me to Forget,"Kygo, Miguel","['23fqKkggKUBHNkbKtXEls4', '360IAlyVv4PCEVjgyMZrxK']",edm pop pop dance tropical house dance pop hip hop pop rb urban contemporary,2018,217.287,71,0.685,0.508,0,53.6,1,0.0987,0.193,0.0,0.139,0.315,99.063
