id,followers,genres,name,popularity
7jVv8c5Fj3E9VhNjxT4snq,4562300.0,country rap lgbtq hip hop pop rap queer country,Lil Nas X,89
20wkVLutqVOYrc0kxFs7rA,2588034.0,canadian contemporary rb pop rb,Daniel Caesar,89
64KEffDW9EtZ1y2vBYgq8T,30244604.0,brostep edm pop pop dance progressive electro house,Marshmello,88
6vWDO969PvNqNYHIOW5v0m,27048881.0,dance pop pop postteen pop rb,Beyoncé,88
3WrFJ7ztbogyGnTHbHJFl2,19214899.0,beatlesque british invasion classic rock merseybeat psychedelic rock rock,The Beatles,88
2wY79sveU1sp5g7SokKOiI,16141960.0,dance pop pop postteen pop uk pop,Sam Smith,88
5YGY8feqx7naU7z4HrwZM6,14779387.0,dance pop pop postteen pop,Miley Cyrus,88
1SupJlEpv7RS2tPNRaHViT,14285097.0,latin latin hip hop reggaeton trap latino tropical,Nicky Jam,88
137W8MRPWKqSmrBGDBFSop,9907667.0,hip hop pittsburgh rap pop rap rap southern hip hop trap,Wiz Khalifa,88
07YZf4WDAMNwqr4jfgOZ8y,9223795.0,dance pop pop pop rap postteen pop,Jason Derulo,88
2kCcBybjl3SAtIcwdWpUe3,6754746.0,emo rap lgbtq hip hop,Lil Peep,88
3E6xrwgnVfYCrCs0ePERDz,6592838.0,latin latin hip hop reggaeton trap latino tropical,Wisin,88
757aE44tKEUQEqRuT6GnEB,5988689.0,melodic rap rap trap,Roddy Ricch,88
6fOMl44jA4Sp5b9PpYCkzz,5312500.0,hip hop pop rap rap,NF,88
7tYKF4w9nC0nq9CsPZTHyP,5082658.0,pop pop rap rb,SZA,88
181bsRPaVXVlUKXrxwZfHK,3963838.0,houston rap pop pop rap trap queen,Megan Thee Stallion,88
7c0XG5cIJTrrAgEC3ULPiq,3750804.0,pop pop rap rb southern hip hop trap trap soul,Ty Dolla $ign,88
6TIYQ3jFPwQSRmorSezPxX,3370875.0,ohio hip hop pop rap,Machine Gun Kelly,88
3hcs9uc56yIGFCSy9leWe7,2432427.0,chicago drill chicago rap drill hip hop rap southern hip hop trap,Lil Durk,88
1U1el3k54VvEUzo3ybLPlM,1698014.0,colombian pop pop,Kali Uchis,88
4oUHIQIBe0LHzYfvXNW4QM,1678738.0,contemporary country deep talent show,Morgan Wallen,88
1McMsnEElThX1knmY4oliG,1444702.0,pop postteen pop,Olivia Rodrigo,88
7CajNmpbOovFoOoasH2HaY,21562562.0,dance pop edm electro house house pop pop dance progressive house uk dance,Calvin Harris,87
0EmeFodog0BfCgMzAIvKQp,21454012.0,colombian pop dance pop latin latin pop pop,Shakira,87
41MozSoPIsD1dJM0CLPjZF,20950428.0,kpop kpop girl group,BLACKPINK,87
6XyY86QOPPrYVGvF9ch6wz,18611017.0,alternative metal nu metal postgrunge rap metal,Linkin Park,87
6jJ0s89eD6GaHleKKya26X,18021998.0,dance pop pop postteen pop,Katy Perry,87
6l3HvQ5sa6mXTsMTB19rO5,13067338.0,conscious hip hop hip hop north carolina hip hop rap,J. Cole,87
7Ln80lUS6He07XvHI8qqHH,11481777.0,garage rock modern rock permanent wave rock sheffield indie,Arctic Monkeys,87
1URnnhqYAYcrqrcwql10ft,9478827.0,atl hip hop rap trap,21 Savage,87
3nFkdlSjzX9mRTtwJOzDYB,6126502.0,east coast hip hop hip hop pop rap rap,JAY-Z,87
6Xgp2XMz1fhVYe7i6yNAax,6061334.0,melodic rap rap trap,Trippie Redd,87
4LLpKhyESsyAXpc4laK94U,5744628.0,hip hop pittsburgh rap rap,Mac Miller,87
2o5jDhtHVPhrJdv3cEQ99Z,5527032.0,big room brostep dance pop dutch edm edm house pop pop dance slap house trance tropical house,Tiësto,87
0fA0VVWsXO9YnASrzqfmYu,4746873.0,hip hop ohio hip hop rap,Kid Cudi,87
2cFrymmkijnjDg9SS92EPM,4084767.0,electropop pop pop rap,blackbear,87
14zUHaJZo1mnYtn6IBRaRP,2661910.0,latin reggaeton trap latino,Justin Quiles,87
5fMUXHkw8R8eOP2RNVYEZX,2376451.0,bmore dance pop edm moombahton ninja pop pop dance tropical house,Diplo,87
1pQWsZQehhS4wavwh7Fnxd,1196473.0,latin reggaeton reggaeton flow trap argentino trap latino,Lenny Tavárez,87
6ASri4ePR7RlsvIQgWPJpS,1102715.0,melodic rap pop rap,iann dior,87
6fWVd57NKTalqvmjRd2t8Z,975121.0,cali rap,24kGoldn,87
3YQKmKGau1PzlVlkL1iodx,20113453.0,modern rock rock,Twenty One Pilots,86
1KCSPY1glIKqW2TotWuXOR,10740388.0,dance pop pop postteen pop,P!nk,86
13ubrt8QOOCPljQ2FL1Kca,9024285.0,east coast hip hop hip hop rap trap,A$AP Rocky,86
0TnOYISbd1XYRBk9myaseg,8359480.0,dance pop latin miami hip hop pop pop rap,Pitbull,86
4IWBUUAFIplrNtaOHcJPRM,7893527.0,pop postteen pop talent show uk pop,James Arthur,86
4tZwfgrHOc3mvqYlEYSvVi,7650304.0,electro filter house,Daft Punk,86
2h93pZq0e7k5yf4dywlkpM,7566623.0,alternative rb hip hop lgbtq hip hop neo soul pop,Frank Ocean,86
4GNC7GD6oZMSxPGyXy4MNB,7544862.0,pop uk pop,Lewis Capaldi,86
23fqKkggKUBHNkbKtXEls4,7362032.0,edm pop pop dance tropical house,Kygo,86
7hJcb9fa4alzcOq3EaNPoG,6805667.0,g funk gangster rap hip hop pop rap rap west coast rap,Snoop Dogg,86
0XwVARXT135rw8lyw1EeWP,6691210.0,mariachi nuevo regional mexicano ranchera regional mexican,Christian Nodal,86
7wlFDEWiM5OoIAt8RSli8b,6679973.0,baton rouge rap trap,YoungBoy Never Broke Again,86
4SsVbpTthjScTS7U2hmr1X,6277479.0,latin latin hip hop reggaeton trap latino tropical,Arcangel,86
5LHRHt1k9lMyONurDHEdrp,6200496.0,dance pop hip hop pop rap rap southern hip hop trap,Tyga,86
77SW9BnxLY8rJ0RciFqkHh,5906677.0,modern alternative rock modern rock pop shimmer pop,The Neighbourhood,86
31W5EY0aAly4Qieq6OFu6I,5634088.0,melodic rap pop rap rap trap,A Boogie Wit da Hoodie,86
1yxSLGMDHlW21z4YXirZDS,5594057.0,dance pop pop pop rap,Black Eyed Peas,86
4npEfmQ6YuiwW1GpUmaq3F,3284229.0,dance pop pop,Ava Max,86
5Lv2GUVwqmQBPwrTrxucE5,3035256.0,forro piseiro,Os Barões Da Pisadinha,86
3jK9MiCrA42lLAdMGUZpwa,1822879.0,escape room,Anderson .Paak,86
7vk5e3vY1uw9plTHJAMwjN,28026432.0,electro house,Alan Walker,85
4dpARuHxo51G3z768sgnrY,26758344.0,british soul pop pop soul uk pop,Adele,85
4YRxDV8wJFPHPTeXepOstw,26249666.0,desi pop filmi modern bollywood,Arijit Singh,85
4nDoRrQiYLoBzwC5BhVJzF,21080479.0,dance pop electropop pop postteen pop,Camila Cabello,85
1vCWHaC5f2uS3yhpwWbIA6,19536186.0,dance pop edm pop pop dance,Avicii,85
711MCceyCBcFnzjGY4Q7Un,18680763.0,australian rock hard rock rock,AC/DC,85
3fMbdgg4jU18AjLCKBhRSm,18138825.0,pop rb soul,Michael Jackson,85
69GGBxA162lTqCwzJG5jLp,17734996.0,dance pop edm electropop pop pop dance tropical house,The Chainsmokers,85
2ye2Wgw4gimLv2eAKyk1NB,17497379.0,hard rock metal old school thrash rock thrash metal,Metallica,85
0L8ExT028jH3ddEcZwqJJ5,15797256.0,alternative rock funk metal funk rock permanent wave rock,Red Hot Chili Peppers,85
07YUOmWljBTXwIseAUd9TW,15150418.0,colombian pop latin latin pop reggaeton reggaeton colombiano trap latino,Sebastian Yatra,85
5lwmRuXgjX8xIwlnauTZIP,12566804.0,bachata latin tropical,Romeo Santos,85
0c173mlxpT3dSFRgMO8XPh,8362537.0,detroit hip hop hip hop pop rap rap southern hip hop trap,Big Sean,85
0tmwSHipWxN12fsoLcFU3B,7259276.0,colombian pop latin latin pop reggaeton reggaeton colombiano trap latino tropical,Manuel Turizo,85
3q7HBObVc0L8jNeTe5Gofh,7036668.0,east coast hip hop gangster rap hip hop pop rap queens hip hop rap,50 Cent,85
3PhoLpVuITZKcymswpck5b,6915079.0,glam rock mellow gold piano rock soft rock,Elton John,85
08GQAI4eElDnROBrJRGE0X,6343791.0,album rock classic rock mellow gold rock soft rock yacht rock,Fleetwood Mac,85
4V8LLVI7PbaPR0K2TGSxFF,6122508.0,hip hop rap,"Tyler, The Creator",85
1anyVhU62p31KFi8MEzkbf,5268258.0,chicago rap conscious hip hop hip hop pop rap rap,Chance the Rapper,85
0VRj0yCOv2FXJNP47XQnx5,4885577.0,atl hip hop hip hop melodic rap pop rap rap southern hip hop trap,Quavo,85
718COspgdWOnwOFpJHRZHS,4755356.0,contemporary country,Luke Combs,85
7ltDVBr6mKbRvohxheJ9h1,4667979.0,rb en espanol,ROSALÍA,85
3MZsBdqDrRTJihTHQrO6Dq,4370727.0,alternative rb viral pop,Joji,85
1VPmR4DJC1PlOtd0IADAO0,3138167.0,dark trap new orleans rap underground hip hop,$uicideboy$,85
4IVAbR2w4JJNJDDRFP3E83,2893671.0,alternative rb atl hip hop hip hop melodic rap rb rap trap,6LACK,85
4Gso3d4CscCijv0lmajZWs,1388639.0,rap trap,Don Toliver,85
2cPqdH7XMvwaBJEVjheH8g,1123869.0,reggaeton trap latino,Jay Wheeler,85
1uU7g3DNSbsu0QjSEqZtEd,177401.0,australian hip hop,Masked Wolf,85
5ZsFI1h6hIdQRw2ti0hz81,15390470.0,dance pop pop postteen pop uk pop,ZAYN,84
6olE6TJLqED3rqDCT0FyPh,12507294.0,alternative rock grunge permanent wave rock,Nirvana,84
7MiDcPa6UiV3In7lIM71IN,11880420.0,sertanejo sertanejo universitario,Gusttavo Lima,84
5Pwc4xIPtQLFEnJriah9YJ,11636620.0,dance pop neo mellow piano rock pop pop rock postteen pop,OneRepublic,84
2C6i0I5RiGzDKN9IAF8reh,11141948.0,banda corrido norteno regional mexican,Banda MS de Sergio Lizárraga,84
31TPClRtHm23RisEBtV3X7,10644302.0,dance pop pop,Justin Timberlake,84
0NGAZxHanS9e0iNHpR8f2W,9863521.0,electro house pop nacional slap house,Alok,84
3e7awlrlDSwF3iM0WBjGMp,8958639.0,dance pop girl group pop postteen pop talent show uk pop,Little Mix,84
