id,name,artists,id_artists,genres,release_year,duration_s,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3QH8rQGNFX8VLbCgZ7uPTS,Fly To My Room,BTS,['3Nrfpe0tUJi4K4DXYWgMUX'],kpop kpop boy group,2020,222.243,80,0.764,0.526,11,52.645,1,0.212,0.0484,0.0,0.0718,0.588,114.91
7L6G0wpIUiPXuvoo7qhb06,oops!,Yung Gravy,['2YOYua8FpudSEiB9s88IgQ'],meme rap minnesota hip hop pop rap,2020,139.76,80,0.886,0.743,6,53.203,0,0.0812,0.0358,0.000198,0.0511,0.941,131.902
3QCU8BT0zDS9LPVfEhRFEE,ALWAYS DO,The Kid LAROI,['2tIP7SsRs7vjIcLrU85W8J'],australian hip hop,2020,151.705,80,0.762,0.426,8,53.135,1,0.113,0.0442,0.0,0.0858,0.582,167.827
07KXEDMj78x68D884wgVEm,High Fashion (feat. Mustard),"Roddy Ricch, Mustard","['757aE44tKEUQEqRuT6GnEB', '0YinUQ50QDB7ZxSCLyQ40k']",melodic rap rap trap cali rap hip hop pop rap rap southern hip hop trap,2019,220.487,80,0.831,0.499,11,51.558,0,0.114,0.269,0.0,0.3,0.511,97.956
41MCdlvXOl62B7Kv86Bb1v,Empty,Juice WRLD,['4MCBfE4596Uoi2O4DtmEMz'],chicago rap melodic rap,2019,248.431,80,0.745,0.561,0,55.131,1,0.0807,0.0758,0.0,0.133,0.449,77.557
5stPVcRqb4qixbafP9e8lt,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow","['0KPX4Ucy9dk82uj4GpKesn', '1pQWsZQehhS4wavwh7Fnxd', '37230BxxYs9ksS7OkZw3IU', '2LmcxBak1alK1bf7d1beTr', '3fZk3Gm5dN5v5yfYMQ04Bx']",latin reggaeton reggaeton flow trap argentino trap latino reggaeton reggaeton flow trap latino reggaeton flow trap latino latin reggaeton reggaeton flow trap latino tropical latin rb en espanol reggaeton trap latino,2019,249.52,80,0.654,0.672,0,54.02,0,0.311,0.471,0.0,0.0781,0.343,181.857
3XF5xLJHOQQRbWya6hBp7d,you should see me in a crown,Billie Eilish,['6qqNVTkY8uBg9cP3Jd7DAH'],electropop pop,2019,180.953,80,0.678,0.533,4,49.515,1,0.186,0.462,0.219,0.139,0.323,150.455
68vgtRHr7iZHpzGpon6Jlo,My Boo,"Usher, Alicia Keys","['23zg3TcAtWQy7J6upgbUnj', '3DiDSECUqqY1AuBP8qtaIa']",hip pop neo soul pop rb urban contemporary atl hip hop dance pop pop rb south carolina hip hop urban contemporary,2004,223.44,80,0.662,0.507,5,51.762,1,0.118,0.257,0.0,0.0465,0.676,86.412
3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,Van Morrison,['44NX2ffIYHr6D4n7RaZF7A'],classic rock folk folk rock mellow gold rock roots rock singersongwriter soft rock soul,1967,183.307,80,0.491,0.583,7,49.036,1,0.0376,0.182,0.0,0.407,0.907,150.572
5A3fPy30SN2wuzrahpcxvV,"Don't Give Up On Me - (From ""Five Feet Apart"")",Andy Grammer,['2oX42qP5ineK3hrhBECLmj'],dance pop modern rock neo mellow pop pop rock postteen pop,2019,196.188,80,0.641,0.537,0,54.548,0,0.0282,0.0875,9.05e-06,0.115,0.0681,112.864
15k1TDabqSEmyXOwMq9RM7,Investe Em Mim,Jonas Esticado,['22jNvLBrXGKr4CcV2tw8Ag'],forro sertanejo sertanejo pop sertanejo universitario,2019,186.533,80,0.632,0.953,9,58.717,1,0.0325,0.317,0.0,0.125,0.798,160.061
4jAIqgrPjKLTY9Gbez25Qb,Lights Up,Harry Styles,['6KImCVD70vtIoJWnq6nGn3'],pop postteen pop,2019,172.213,80,0.575,0.621,10,51.835,0,0.032,0.0392,0.0045,0.141,0.27,101.987
5iFwAOB2TFkPJk8sMlxP8g,Make You Mine,PUBLIC,['4vxaQs6vK54nK89J1VtLex'],indie rockism,2019,232.907,80,0.606,0.799,9,55.548,1,0.0261,0.0128,0.0,0.15,0.638,103.014
6b2RcmUt1g9N9mQ3CbjX2Y,How Do You Sleep?,Sam Smith,['2wY79sveU1sp5g7SokKOiI'],dance pop pop postteen pop uk pop,2019,202.205,80,0.477,0.682,1,55.069,0,0.0925,0.153,0.0,0.0763,0.345,110.567
4SSnFejRGlZikf02HLewEF,bury a friend,Billie Eilish,['6qqNVTkY8uBg9cP3Jd7DAH'],electropop pop,2019,193.143,80,0.905,0.389,8,45.495,1,0.332,0.74,0.162,0.106,0.196,120.046
6U0FIYXCQ3TGrk4tFpLrEA,SUGAR,BROCKHAMPTON,['1Bl6wpkWCQ4KVgnASpvzzA'],boy band hip hop rap,2019,204.533,80,0.453,0.538,1,51.788,1,0.0638,0.449,0.0,0.19,0.516,122.973
4crczEC1PpoD8TsDsmoWNI,Goodbye,"Imanbek, Goodboys","['5rGrDvrLOV2VV8SCFVGWlj', '2nm38smINjms1LtczR0Cei']",uk dance edm electro house pop dance slap house tropical house,2020,144.0,80,0.741,0.931,10,56.553,0,0.0563,0.0225,0.000102,0.191,0.517,125.011
4Yxc55NX3tAXC2mHRAhtcW,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,['1McMsnEElThX1knmY4oliG'],pop postteen pop,2019,177.323,80,0.376,0.43,0,53.415,0,0.0328,0.0902,0.0,0.0912,0.129,77.599
